timestamp,speaker,words,tags,highlight,timelink 
,Farbes, I'll start with the last one. I was recruited and I should remember the man's name because he was here at the time while 'I was a student‚ but he came to my high school in Oklahoma City‚ and I guess he had arranged to talk to the top students and I was one of the top students. And he was very interested in my coming to Grinnell because I was a black student and he said that to me. He said he was impressed with my record and at that point in time I had won the State Oratorical Contest‚ so I was the State Champion and I was going to the National tournament and he was very much interested in that and I was on the debate team and I was on the Student Senate. I did all that kind of stuff. He was the only recruiter as I recall that expressed a great deal of personal interest in me. I got some contact by mail from Ivy League school‚ from Yale in particular‚ some things from Dartmouth‚ and a few things   from Stanford. but I don't recall‚ maybe I got some phone calls‚ but I didn't get any personal contact except with him. They offered a Trustee Honor scholarship and apid for a trip to the campus and when I saw the campus I just fell in love iwth it and that was how I decided to come here. The reaction of my friends was strange. I was a national merit semi-finalist and I \'laS what was called the National Achievement Scholar; I don't know if they even have the program anymore‚ but it was a special program the National Merit instituted in 1965‚ my fina1 year‚ for blacks and minority students. /\nd there were five National Achie~ement scholars in the state and I was one of them. In fact there were two of them from my school. And the other guy who got one scholarship went to Drake and I went to Grinnell. And people thought it was strange that we went to these weird schools in Iowa. But he had qone to the Drake campus and liked that campus and we just decided to come ~ere rather than going back East. l\nd I don't clearly remember 1;<1hy~ I got an offer to go to Veale and I don't remember why I never gave it serious consideration but I didn't. Perhaps I was afraid of it. I didn't know anything about the East coast and I didn't have anyone‚ any relatives out there. I didn't have anyone to give me any personal framework for it and I hadn 1t had any personal contact with them so I didn't want to go. That summer after I graduated I went to the National tournament; I won the National Championship in the Original Oratory. 
,Yeager, Can I ask you were you the only black student participating in this? Far~es: No‚ I think there v1ere two other black students that I saw at the tournament. The tournament involved at least ten different catagories; original oratory‚ which is a speech you wrote yourself and presented‚ dramatic reading‚ debate‚ improvisation‚ humorous readings. it was sort of a whole range of dramatic and public speaking activity. Original dratory was just one of the catagories‚ but it was one of the highly visible catagories. The finals were televised. It was in Omaha. Neb. that year and parts of it were there and all kinds of stuff. It was a teal good experience for me and this speech coach that I had‚ had sort of taken me from the 8th grade and still kind of being scared of speaking in front of people and all the way up to the national championship. So it was a big. I was on a real high going to Grinnell. I was happy about going. I didn't have any reservations about it‚ I didn't know what to expect ~cause I had never been away from home at all. But I enjoyed it and people were willing to accept what I was going and by then I was kind of a local celebrity. People knew who I was locally because I had done so many things that last year. So no one was particularily concerned or surprised about it and things were real good. 
,Yeager, What were your goals for your future at Grinnell‚ occupation~‚ etc.? What dreams did you have that you wanted to fulfill in the next years when you v1ere starting? 
,Farbes, It 1s funny but I don 1 t remember that I had any goals because I didn't knot11 i‚Jhat I v1anted to do. I vJas a good science student when I was in high school. My mother was a mathematics major‚ loves mathematics conceptually‚ she's a mathematics teacher again now. She wanted me to do that. It 1s funny‚ I read an article; my mother and father keep all the old articles‚ newspaper articles‚ and I went back last Christmas and I was reading the old articles and I noticed that when I won the National Achievement Scholarship I was quoted as saying‚ “that I might become a la~1yer. 11 i can't remember that‚ but I think I must have said that because I couldn't thing of anything else to say. I   can't remember really particularily wanting to be a lawyer. I was a good speaker so I figure well you know lawyers speak so I said I'm going to be a lawyer. I didn't have any desire that was born out of someone having pressed me to be one thing or another. My family supported me in doing whatever I wanted to do‚ and they really allowed me to make the decision about where I wanted to go to school and they allowed me to make the decision about what I wanted to do. When I came here‚ one of the reasons I came here was because I didn't have to decide what I was going to do because it was a liberal arts school. So I didn't know. 
,Yeager, So you didn't have any specific dreams or goasl that you wanted to fulfill? 
,Farbes, Well‚ I wanted to graduate from college. I wanted to do well in college. I didn't have a particular profession‚ a responsibility or activity in mind. 
,Yeager, What were your primary concerns as a student at Grinnell at that time? 
,Farbes, When I first got to the school I was pretty much an over-intense freshman. I got here. I was in quad; in a room with three other guys in North Younker Hall. 
,Yeager, Black or white? 
,Farbes, White! One was a guy named Bill Creasey from some really tiny town in Iowa. One was a guy named Carl Muller who was from the suburbs of Chicago. One was a guy named Tom something or other who was from Minneapolis‚ MN who was a person who left Grinnell after the first semester The first semester all these guys‚ including me‚ were over-intense. We spend all our time studying: and complaining how hard it was. We all played IM sports‚ football‚ and went out and played and came back and studied‚ and didn't date at all. It was a classic intense freshman resonse. And we didn't have very much in the way of help from anyone in the hall. Back then the hall system was basically a fraternity. One of the reasons I came to Grinnell was I didn't want to be in a fraternity. I didn't like them. I'd had some contact from my mother's sorority and didn't like the attitude. I just didn't like fraternities. I just didn't like the idea of being hazzed and having to be involved in something withough my choosing to want to be with these people‚ etc. And I had no idea that the hall was going to operate like that. When we first got here we went through the whole things with the beanies and being sent out into the fields to get bull semen and all that other horse shit. What was real interesting was the other guys in my room were just like I was. They had all come because they didn't want to have that sort of pressure imposed on them and we just refused to participate in it. We resented that we had to di it‚ resented that nobody listened to our side of why we shouldn't have to do it‚ and we really did not enjoy it the way you can enjoy it. It really is possible to enjoy that stuff but we didn't. And that was just another part of being miserable and of course none of it was good at all and on top of it all I had gone through school and had never had less than a B+ in anything and I made a C in calculus my first semester   and I was just‚ I was mad and I was really‚ really down on the school. I was down on myself. And it was such a big switch from having gone in on such a great big high that at the Christmas break I wanted to leave. And I tried to leave‚ I tried to transfer first to Washington University in St. Louis‚ and would have done that except that my father very actively resisted. And part of the reason he did that was he was afraid I was going to be drafted. This was the time when the war was just starting to gear up and draft boards in Oklahoma were going through and basically they were pulling all the black males' names and they were sending them draft notices. And they did that to me toward the end of the first semester‚at Grinnell. Even though I had registered and I was in school‚ you had to flunk out of school then to lose that deferrment classification. But they sent me a 1-A notice and so my father was real upset that he would not be able to stop that from happening and he wanted me to do something to assure that I'd be guaranteed to be able to finish school. So really really armtwisted me into A) staying in Grinnell and B) enrolling in ROTC. So when I was a second semester freshman I took or whatever‚ you sign up and you take that Reserve commission. So I took this Reserve commission in ROTC so I was in ROTC for my very first year. So that got me out of the draft entirely. 
,Yeager, Was it a misunderstanding or couldn't you get out of it? You were in school and you were covered. 
,Farbes, Well‚ I should have been. Well‚ what I should have done is pursue it but you have to realize I was a freshman in college and my father's fear is that it wouldn't make any difference who was right or wrong. I was black‚ he was black and he knew what happened to black people in Oklahoma and he didn't want me to go to Vietnam and get shot. And what he said to me was‚ “Look‚ do you want to stay in school or not and if you want to stay in school‚ don't drop your affiliation with the school you're in now and get in ROTC so you won't get drafted.“ Eventually that's what I did. I think he was wrong in doing that as I look back on it because I had every right not to be in ROTC and I hated ROTC. 
,Yeager, Can you tell‚ I'm curious about your concerns at Grinnell. How aware were you of the national events that were going on at the time you were at Grinnell? Like civil rights itself. 
,Farbes, I was very much aware of what was going on with the civil rights movement primarily because I had been in the setting since the 8th grade where I was very much sensitized to that. I had been basically the only black person in a white world in the deep South and I was involved in a minor way in demonstration activities in high school. And so the trend of what was happening in the country‚ first the violent resistance in the south and the violent response to it by blacks in big cities all over the country‚ I was very much aware of. I was very much aware that Grinnell was a way‚ way long way from that. The only real contact I had when I was a freshman with the outside world impinging on Grinnell was when I went into town. It's interesting to me‚ I've talked to other people who are here for this conference; I've talked to other Black Alumni from Grinnell who did not have the same experience that I and many other people who were in this school when I was here did with the town. There was a great hostility to students in general and to minorities in particular‚ in part probably because they were just visible students‚ in the town. Because I had spent so much of my life in situations where:! .had   to gauge whether white people were hostile to me or not. I knew when they were hostile to me and I knew there was hostility in the town and I was afraid to go into the town. 
,Yeager, How did you feel out the hostility? Was is of a direct nature or was it more subtle? How was it when you walked into town? 
,Farbes, It was both. An incident that I remember‚ which is not an incident at all but it was one of the first few weeks that I was here. I was a real Jazz record buff as much as I could be from Oklahoma 'cause I'd have to order the records but I went into town the first week to look around and see if there were any discount stores that sold records. Normally‚ what would happen in Oklahoma was nobody listened to Jazz so if you went to a discount store you could always find the Jazz records for 25¢. Even the brand new ones 'cause they would order them by the mistake and nobody would buy them. So I figured it would be the same in Grinnell. I went in to a store to look for cheap records and the people in this store watched me the whole time I was in there. I can't remember the name-it was a little Gibson Discount store that used to be downtown. I had that happen to me in Oklahoma. Black people get watched wherever they go‚ and it wasn't that I was being watched because I was going to steal something because I probably didn't‚ back then I didn't know whether I did or not but knowing now what I know about the way I appeared. I was a real scholarly looking person. I know I didn't look like I was going to steal something~ It was just that‚ for reasons I don't know‚ but people suspected blacks. Blacks were causing all kinds of trouble everywhere and I get the impression that that's maybe what was behind it. I felt like I was being watched all the time. I knew it wasn't my imagination because I knew enough about inter-racial relationships by then to be able to tell when things were curiousity and when they were hostility and I just felt it was hostility. And I had some actual clashes with people‚ white men drive down the street and yell racial slurs at me as I was walking downtown. I had somebody throw a bottle at me once. This was all when I was a freshman‚ it was the first time I was here and I was all by myself basically. I didn't know very many other black students on the campus. Back then there was no black organization on campus and the black students here were like I was‚ they came here to get a good education and they didn't necessarily come here to group together and be black. I made friends with them more or less the same way I made friends with white students. There clearly is a common experience that some blacks are more willing to acknowledge than others. It 1s not the kind of setting that you have now where there is the Cultural Center for blacks to go and participate in their own background and not have to ... It's interesting I was talking to a woman who graduated in '61 and she said it was so hard to play a role all the time and that's what I was going when I came here. Of course‚ I was used to it‚ but it was playing a role 24 hours a day or at lest all the time that I was in a setting where I was the only black person. 
,Yeager, Playing a role or being yourself? 
,Farbes, Playing a role in the sense that at least for me‚ and I was still a child in a way. I was still finding my personality‚ I was always kind of on guard when.<I was by myself in a group of whites. Not in the sense that I dislike people or couldn't get along but their background was not the same as mine and it took time for me to get to know an individual white person enough that I could really feel at home with them. I'm really talking to you now about the first semester I was here. I didn't have that much time and a lot of time I spent b1ith my roommates was sort of joined misery rather than getting to know each other as I really wasn 1t close to anybody and I was just generally miserable. 
,Yeager, When you moved to Oklahoma from another part of Oklahoma‚ did you leave all your friends behind you? Well. I guess you did. Did you keep in contact 1tiith them? 
,Farbes, No I didn't. I did not keep in contack with them. It 1s really a long distance. it's about 150 miles and I went from an all black school to an a 11 white schoo 1 and I ;‚ias too far away to hav~ any contact with my fri r:mds from before. I made new friends. Yes‚ close friends. 
,Yeager, White friends? Fa rbes: I wou1 d say I on1 y had one person that I 1•1oul d have considered my friend who was white in high school. A friend being someone who's really close to you. But I had a lot of black friends because the number of black students contirma11y increased ·In my high school. There were five when I started and there were‚ I had a graduating class of 270 and maybe there were 75 blacks. 
,Yeager, I want to clear that up because when you get to Grinnell. I'm just worried that in your high school experience you were isolated‚ you can almost unsensitize yourself to needing friends and you really do need them but you get u~ed to being alone. Farhes: ~1o‚ I was by no means alone in the sense that I didn 1 t have friends at all. I was alone in the sense that I remai~ed‚ in high school I was without question the highest ranking black student in the whole school and so the classes I took‚ for examole‚ I took physics and accelerated mathematics and that sort of thing. And I was the only black person in those classes. I had black friends and I was involved with sports. track and cross country. but my affiliations were school affiliations as a black person in a predominately 1_.-‚‚hite environment. I coped with that well‚ but I didn't necessarily form cloase friendships with a whole lot of white people. 
,Yeager, Sy the time you had finished your first semester at Grinnell or after your first year at Grinnell had you started to form friendships with ... 
,Farbes, I think I had‚ I definitely had. The second semester I was a lot different than the first. Hhat happened‚ in part I talked to you about all these things that happened to me the first semester‚ everything vrns so bad. When! came back I stopped working. I used to study all the time‚ literally I would study from the time I woke up till the time I went to bed at night‚ with the exception of-the times I played IM. whatever sport I was playing. Pfitsch would try and get me to cross-country run‚ but I didn't run because I didn't want to take away from studying. I wanted to study all the time. But after the first semester‚ I was so disgusted and I was so down when I came back‚ I di dn I t want to be here and I just quite doing anything. I did much better that semester academicaly because I was over studying and that was what was wrong. I was working too hard. and psychologically I was not allowing myself to do what I could do because I was working too hard. So my grades went way up‚ I think I got A's the second semester I was here. But I spent   a substantial part of the time just hanging around the Forum and I enjoyed myself a lot more. I went out on dates. I got more socially acclimated and I started to like the school. I can remember very clearly when I went back home at Christmas I wanted to stay home; but when I went back home for the summer I missed the school. I was surprised at this because of the way things had gone the first semester. But I missed it and I had enjoyed it and I was going to go back. I had talked so much about wanting to leave that after I got into ROTC I could leave Grinnell if I wanted to and I sort of half heartedly looked into transferring. But I really didn't want to do it after the first year. It was a strange time because I told you I had three roommates and one of the guys in the room left. He was so depressed and we just sort of fed off of each other and sort of made it worse. I stayed around them all the time and all they ever did was study and moan about how terrible it was and we really hurt each other. The second semester I was still in the same room and there was only three of us and one of the three‚ the guy from the little town in Iowa‚ was just a real weird guy. He was one of these guys from a fairly wealthy family‚ his father was a lawyer and he was a very talented person but he was something of an antisocial person. And he really didn't do much of anything‚ not that he studied all the time 'cause I don't think he really did that‚ but he didn't participate in athletics like I and the other two guys had. Not to the extent we did‚ though. He would go out and play with us. The guy from Illinois was a basketball fanatic and he carried the basketball to bed with him‚ the basketball ser-ed as a replacement to him for women for about three years and he was an absolute athletic nut. He spent all his time that he wasn't studying in the gym‚ and I would spend time with him. Eventually‚ I sort of drew away from the guy from Iowa‚ even the first year. I spent a lot of time with Muller‚ who was the guy from Illinois‚ and I started spending time with other people. I started going to the Forum and I started playing cards and going to dances and not staying in the room the way those guys had. And so I eventually started to move away from both of them. The guy from Iowa for a lot of reasons and the guy from Illinois because he was a lot more narrow than I was. I started to make other friends‚ friends in the hall. 
,Yeager, Black or white students? 
,Farbes, Well‚ there was only one other black student in the hall‚ a guy named Lou Kelly in North Younker Hall so the friends in the hall were all white students. I got to know other black students on the campus and I started spending more time with them and as you alluded to there was lots of things going on outside of Grinnell that as I got to know other black students we would spend time talking about it. Even though we were here there we~e things that affected us and we were aware of them. And the college on its own every now and then would bring in people who would reflect their awareness of the turmoil of what was going on outside. The name of the guy who coauthored Black Power with Stokely Carmichael? He came to Grinnell-the name will come to me. Anyway he was faily well known to us. Black Power was a book that a lot of people were reading. I remember I read it when I went home the summer between my freshman and sophomore year. My mother was working for the Urban League and she was very much involved in all the things that were   happening. A lot of those things were bad in Oklahoma. Far more than seeing the rage or reaction of blacks‚ we were seeing the greater repression of things on the part of the white majority. I 1‚‚ias vety much av1are of those kinds of things that were going on. I was able to not deal with them except on an intellectual plane at Grinnell because if you did not go to town it didn't affect you. Eventually what happened at Grinnell was the town imposed itself on us and that in part 1‚rns the reason for the formation of the organization. 
,Yeager, You were really not organized before that point? 
,Farbes, Not before that. There wasn't any organization. Marilyn Grey was here and I can remember. I didn't even talk to her~ I saw her but I didn't even talk to her until the latter part of the second semester of my first year when I hung around the Forum enough that I finally went over and got into a conversation with her over something. But there were a lot of black students here that I had no contact with at first. That was siqnificant because there were a lot of balck students that I did talke to ~rimarily because they were out-going. I wasn't necessarily an out-going person. I was a quiet person. I'd talk if people talked to me. Over the first year‚ the second semester I started to feel a lot more comfortable with the school generally. I started to get involved with a lot of other things at the schoof. I got involved with a political club for the first time. and that was toward the end of my freshman year and I did it through my sophomore year. It was the young Democrats. I got involved with mock political conventions. After I got my first C in math‚ I decided that I really wasn't going to be a math or science major so I started taking political science courses. I took one the second semester of my freshman year and I really liked it so I took a whole bun~h of political science courses. took sbme .history course. and I was really doing more things that I was interested in . I was enjoying myself a lot more and my academica direction also made me more sensitive as well to things that 1‚1ere going on outside. 
,Yeager, Since you lived in Oklahoma City did you have any difficulty in adjusting to Grinnell 1s rural setting? 
,Farbes, No‚ not at all. As I told you I spent a lot of time during the summers when I was growing up on a farm. I am in a way from a rura 1 background so I like it. I liked the open space and clean air and I was able to walk when I wanted to walk. There are some black people from large cities. although I think it1s something of a misnomer‚ ~lack people li~e to say because it was sort of the “'in“ thing to say that everybody is from an urban area. But most blacks are really from a rural background originally. or their parents are from those s1 ave roots and they are from the south‚ and from some farm setting. I ha~ immediate contacts with that so I liked that and it didn 1 t bother me. 
,Yeager, How many black stu~ents ~ere attending Grinnell when you came? Can you remember‚ it was one of the larger numters. 
,Farbes, I've been looking at the statistics there. I do not rememher myself. r came her in '65 and left in '69. 
,Yeager, Frank Thomas hacl suggested to me that t~ere were 20 or 30 or maybe 40 by the time he graduated in 17L Did 1‚e graduate in 1 71? ';Jel1‚ that not's true. I see there were 66 in 1 71‚ 60 in 170‚ so there must have been a good   number herethen or what you would consider a good number for Grinnell. 
,Farbes, I guess there were a fai~y large number in my class which was '65 and in the class behind me which was '66. It's hard for me to remember the numbers very well‚ but it seems to me that there were a dozen black students in my class. There may have been two or three more. There were at least that many behind me in the class of 166 and in '67. I think there were substantially more than that because I remember us talking about how many. That was during the time we had started trying to get involved in the admissions process. In 168 there were definitely lots more. The numbers were increasing during the years during the years I was in school. 
,Yeager, What kind of interaction did you have with these black students? 
,Farbes, The interaction for me became far more intense and pronounced in 1967. It was the end of my sophomore year and into my junior year that Concerned Black Students was formed. 
,Yeager, Can you talk a little more about the formation of the CBS‚ and the activities you were involved in? 
,Farbes, I have to say to you that my recollections are vague and they are vague because it was an era rather than a specific incident or two that caused what happened. The era was a function of what I talked to you about with the town. What happened is the numbers of b 1 ack students increased and the outside events that black people were involved in; the riots‚ all kinds of uprisings‚ the reaction by the Federal Government which was perceived I think by many as coddling blacks rather than cracking down on them when they were burning things up‚ all those things sort of came together at the same time and we had incredible clashes in the town. Incidents where people were almost run down by cars‚ fists fights in the streets‚ bottles and cigarettes being thrown. I can't remember any incident that involved an other person than myself that I could identify for you but I can tell you many black students told me that they were in bars when many of these things happened. Probably they shouldn't have been in the bars anyway‚ but then all the white students were in the bars and they never had it happen to them. They would go to a bar and there would be some big incident. And there clearly was a ringleader named Jim Slibiska (phonetic spelling) for a group of young white guys in town who were always causing that kind of problem. Concerned Black Students was really formed in response to what we felt was really more than we could take from attacks in the town. A couple of incidents were talked about and people decided that we've got to do something and we have to form the organization and demand the administration do something to stop us being harrassed. We've got a right to be $t1:Jddnts here sust_'like everybody else. And that was the primary reason the-organization was formed. It gained impetus frankly by the events outside the school. When Dr. King was killed it had an incredible impact on the black students. I'm sure it had an incredible impact on the whole nation‚ but what happened was it probably coalesced in many people's minds the threat to us. It was almost like if they could shoot him they're going to shoot us. They're throwing bottles at us now but next time they are going to shoot us. People really went into a fort mentality for a little while. And when I say that you have to recognize these are the same people who didn't even have an organization when I first came here. We didn't really join with each other just because we wer black. It really was the circumstances   outside the school and outside our own lives that caused enough fear on our parts that people felt they had to band together. It was that‚ that allowed one person to talk for all of us. I was the first president of CBS and I made a lot of statements on behalf of all the black students. 
,Yeager, Did you feel at all bashful about that? 
,Farbes, No. I didn't feel uncomfortable about it at all. I can remember talking to a number of peopl~‚Frank being one of them‚ aboutwhether that was a problem. You know‚ how I could speak for everyone else. But that wasn't the sort of thing that concerned us then. We had too many concerns about what was happening to us from day to day to worry that the spokesman was saying things differently than maybe some individual would have saad then. And there was not any dissension in CBS the first year it was formed. 
,Yeager, Were all the black students at Grinnell involved in this? 
