timestamp,speaker,words,tags,highlight,timelink
,Smith,"Yes, that was because of race. You see, one of the things that --- I don't know whether counselors didn't know any employers who would employ Negroes or whether they did. They probably didn't know any and there probably weren't that many who would. Because back there, you know, it was very difficult for you todo anything other than housework.",,,
,Yeager,"Especially for a woman, I would think.",,,
,Smith,"Yeah. Well, for men either. I mean, men, they didn't have that great an opportunity to do anything other than teach or be a mail carrier.",,,
,Yeager,"I think that was the third or fourth black alumni that got involved in YMCA. Kitchen worked for the USO. And Redman worked for the YMCA for a period of time.",,,
,Smith,"Yeah. Well, you see, when we have a limited horizon, you have to take the one that offers the --- and, see seventy-five dollars a month was a lot of money.in those days.",,,
,Yeager,"What were your primary concerns as a student at college?",,,
,Smith,"Meaning?",,,
,Yeager,"Oh, academic, social, political.",,,
,Smith,"No political.",,,
,Yeager,"Nothing political.",,,
,Smith,"No. Nothing political. I wasn't interested in politics in those days. We were just interested in having enough to eat.",,,
,Wieman,"Brown went on a starvation diet. Don't you remember that?",,,
,Smith,"Oh, yes. But he --- we always thought he was cracked. Cause, you know we always thought that he was very eccentric.",,,
,Wieman,"He was.",,,
,Smith,"And very strange. Fasting for what? You know.",,,
,Wieman,"I can't remember now.",,,
,Smith,"I don't remember either.",,,
,Wieman,"Sorry I interrupted.",,,
,Jordan,"What about extra-curricular activities?",,,
,Smith,"Well, let me see. Whatever they had.",,,
,Wieman,"I didn't have any in college. I couldn't get in the glee club.",,,
,Smith,"Well, I did belong to the not the regular glee club, but you know the other one?",,,
,Wieman,"No.",,,
,Smith,"Well they had two. So, since I wasn't good enough for the first one, I ---",,,
,Wieman,"I didn't even get in the second one.",,,
,Smith,"Well, I did. We used to practise over in the Music Hall.",,,
,Wieman,"Qh, for heaven's sakes.",,,
,Smith,"And you know that Professor Pierce was very unhappy to have a black person in his choir. He almost died. Even though Anna May had worked for him. But Anna May was their maid so that was different.",,,
,Wieman,"That was different.",,,
,Smith,"That was a big difference.",,,
,Jordan,"Did you find prejudice from the faculty? Or from the student body?",,,
,Smith,"Well, you know, I think being a Negro you --- it just doesn't, you know --- . Now I knew that Professor Sherman didn't like Negroes. And I didn't think Professor Baurr.an liked them either. Neither one of them were important, so --- So you don't like me, so what? So, I mean, you know, that was the feeling. And all of the students that I came in contact with were very nice to me. So consequently I said I didn't --- I didn't get the feeling that so many people did of --- cause I feel that they're people just like anyone else if --- Some people you like and some people you don't like. So you have a right to your preference. So I said --- you know, that's why I ignored it. At least it didn't bother me. You see many people are bothered by it, but to me it doesn't bother me. •",,,
,Yeager,"What about some of the other students at Grinnell. Was it a a very negative or a positive reaction?",,,
,Smith,"Well, they had, as far as I could see, they had a very positive reaction, and I was, you know, they tried to make the town students feel very at home and so we were affiliated with a cottage. I was affiliated with James. And, you know, we had the Colonial Ball in February. I had a very good time. We wore the costumes and what-have-you. And they did the Virginia reel and what-have-you, so -- at least, I didn't feel anything. Now, maybe other people did, but I didn't.",,,
,Yeager,"O.K.",,,
,Smith,"And I think that when you live in the town it's altogether different from coming into a city when you don't know the city. See, Grinnell was home.",,,
,Yeager,"Yeah.",,,
,Smith,"And so many of the people I associated with I had associated with all through school from the time I started. So it wasn't like coming into a community where you have to make new friends. Because most of the people I met when I came to Grinnell College I had known when I was in high school or before. And even the college students I had known because they had come to the club house, what they called Uncle Sam's Club.",,,
,Yeager,"O.K. Did you have any contact with the blacks that came to Grinnell during World War II training?",,,
,Smith,"No.",,,
,Yeager,"You didn't have any ---- your family didn't have any contact with any of them?",,,
,Smith,"Well, my mother did. But I wasn't home during World War II. I was gone. See in '37 I left.",,,
,Jordan,"Did she ever speak much about that?",,,
,Smith,"My mother?",,,
,Jordan,"Yes.",,,
,Smith,"She talked about them but, see, by that time Mother was old, much older.",,,
,Jordan,"And there were no younger children at home.",,,
,Smith,"There was no one there but her and if they came by she was very pleasant, but, you know, my house is quite a ways, unless they were going to the cemetery, they didn't pass it. And they no longer went to Arbor Lake. You see, we used to go to Arbor Lake and the students used to go to Arbor Lake and they'd come by the house and cut across the cow pasture going to the lake rather than go down West Street. But by that time Arbor Lake was no longer important. If they came they just walked down. I don't know how many students they had, colored students, they had then, if any, I don't know. I don't remember. I know that Alphanette White came up.",,,
,Yeager,"Oh, yeah. Alphanette White. She ---",,,
,Smith,"Now, Alphanette's mother was the Girl Reserve secretary when I went to the Y.  Alphanette was just a little girl then.",,,
,Yeager,"Were you the only black student at Grinnell at that time?",,,
,Smith,"Yes.",,,
,Yeager,"We have another student, Ralph West.",,,
,Smith,"If he was here, he didn't stay.",,,
,Yeager,"O.K. So you didn't know each other. O.K. I was just curious. Did you discuss --- Now there was no NAACP in Grinnell, but several, I believe .1. of the alumni mentioned that there was some other organization that took the place of NAACP before it was formed in the late 50's and earlier there was no --- Uncle Sam's Club was the only social type organization.",,,
,Smith,"Well, see, Uncle Sam's Club was for all the children who lived in that end of town. So it·wasn't because we were black or anything else. It was just that it was in that end of town. And it was for those children who didn't have anything to do on Sunday afternoon and it gave those students who were going into social work, or whatever they were going into, an opportunity to work with young children. And that's what they did. And, you know, thay had the clubs. And I think that's why Mrs. Conard had the Blue Birds, the Girl Scouts, I mean not Girl Scouts, Campfire Girls.",,,
,Jordan,"I gather from what you've said that as your generatifon came of age, your family and the Lucas famtly, people left Grinnell. And so the situation one finds as you go into the 1940's and the 1950's would be fewer and fewer black people ---",,,
,Smith,"As they died out. They really didn't leave. They died out. They stayed here until they died.",,,
,Jordan,"The parent generation. But you and your sisters, for example, left, and ---",,,
,Smith,"Well, yeah, but the parent generation died. It wasn't that they moved away from Grinnell. I think that the only family -- Well, no Mrs. Tibbs died here. I think that most of the ones who had lived here died and then if there were any young ones they moved away. But other than that ",,,
,Yeager,"Was there any reason for that or just that they were pursuing a career?",,,
,Smith,"Well, I mean, what they were doing, it wasn't that they were pursuing a career, they were pursuing a job. See, Grinnell was not a-~- At that time we had the glove factory. And after the glove factory we had the shoe factory. Well, the glove factory would hire no Negroes. And I don't know about the shoe factory because that came later. And I think my uncle was the only one who worked for the Spaulding Automobile.",,,
,Yeager,"And that was John Lucas.",,,
,Smith,"John Lucas.",,,
,Yeager,"O.K. I was curious --- you mentioned in your piece about Alice not thinking that Grinnell was a very good place because of a lot of racism or snobbiness or whatever and that she went to Hampton because she thought it would be better.",,,
,Smith,"Well, she went to Hampton because she could afford to go to Hampton. My brother had been there, and he was the one that was going to help her. Of course children in a family have different experiences. She was older. She had had a harder time than I did. The family was poorer when she came along. And so I'm sure that she got many more hard knocks than we did. Because I know that you know that in families the older ones try to shield the younger ones from the same sort of things that they had. I'm sure that they experienced many experiences that I didn't have.",,,
,Yeager,"Can you tell me are any of the people who cooked at the college still living? Oscar Monroe?",,,
,Smith,"Oscar Monroe is dead. Now whether Addie is dead, I do not know. Oscar's brother, George, may be still living in Kirksville, Missouri. I don't know.",,,
,Yeager,"Oscar's brother?",,,
,Smith,"George. He was a second cook.",,,
,Yeager,"Kirksville?",,,
,Smith,"Kirksville. That's just a little way over the border into Missouri. I don't know how far. But you know who used to keep in touch with Addie was Dick Ulrich.",,,
,Yeager,"Dick Ulrich.",,,
,Jordan,"He lives here in town.",,,
,Smith,"He used to --- See, they used to play cards with them all the time. So he used to keep in touch with Addie. So I don't know whether he still does. And I don't know whether she's dead.",,,
,Yeager,"O.K. Can you give me an idea of how many people in town, black people in town, worked for the college. I got some idea from the tape.",,,
,Smith,"Well, my uncle worked at --- at the Quadrangle.",,,
,Yeager,"Uncle John?",,,
,Smith,"No. This was Uncle Saul. He was my Aunt Annie's husband and Aunt Annie was the --- had a hair dressing establishment downtown.",,,
,Yeager,"Right. Transformations.",,,
,Smith,"Yeah, she made transformations, but before then she had had a beauty parlor uptown on Broad Street in the block where Dr. Carney is now. In fact she was up the stairway with Dr. Brock who was a dentist.",,,
,Yeager,"Now, Uncle Saul worked for --- was he one of the --",,,
,Smith,"He was a cook, head cook, at the Quadrangle.",,,
,Yeager,"And he's no longer living.",,,
,Smith,"No. He died quite a while ago, about eight years ago I guess.",,,
,Yeager,"If we'd only started this about ten years ago, we'd have a tremendous project.",,,
,Smith,"That's the way a lot of us feel.",,,
,Yeager,"For some, it's a little late. Now, is that the only other ---",,,
,Smith,"Yes, he was the only one. Addie and Oscar and George worked at the men's dorm and Uncle Saul was over here.",,,
,Yeager,"What about other administrative positions? No other positions?",,,
,Smith,"No. Not any I know of. I never saw any up here.",,,
,Yeager,"And a lot of people worked as domestics for professors then.",,,
,Smith,"Yes. But there weren't that many to work as domestics because there weren't that many left in the town. I think Anna May worked for Professor Pierce because she was up here and my sister Evanel worked for the .Frisbies. They ran the newspaper. But she was in high school then.",,,
,Yeager,"Evanel, is she .still living?",,,
,Smith,"Oh, yeah.",,,
,Yeager,"She's the youngest of the----",,,
,Smith,"I'm the youngest. She's the next. And Alice is the next. That's the youngest, the next youngest and the next that are still living.",,,
,Yeager,"And where is she living? Where is Evanel living?",,,
,Smith,"Savannah, Georgia. She's the one that went to Ames.",,,
,Yeager,"Clifton Lamb mentioned in his tape that he was thinking about either going to Grinnell or the University of Iowa and he said that the University of Iowa was very racist",,,
,Smith,"It was. They were much --- Well, of course, Grinnell didn't consider itself racist anyway. Because, you know, this had • been an underground railroad city. And Grinnell had had a station, an underground railroad station. So on the foundation of this college, it shouldn't have been racist. So I'm sure that's something that he had on the back of his mind when he came. And the University of Iowa has --- well, when my sister moved to Iowa City they had no black students on campus at all. That's why she kept students. So it's only recently that they have allowed students to stay on campus.",,,
,Yeager,"O.K. Can you tell me a little bit about your mother? Since she did go to the Grinnell Academy, she'd be one of the first women --- I think she'd probably be maybe the second",,,
,Smith,"My mother was a lady before her time. My mother was a health fanatic before anyone was. We couldn't eat white bread. We had to eat oatmeal for breakfast and cornmeal mush. We had to eat no white bread at all. And everything she fixed was supposed to be --- you know, she talked about nutrition all the time. We couldn't eat tomatoes out of an aluminum pan because she used to say that she was sure they must cause cancer. In those days people thought aluminum was great. She said,""No aluminum. Anything that will take the color out of aluminum, it must take some of the metal out so you can't eat the stuff.""And we couldn't have sweets, candy, no junk. And, you know, that was a person before her time.",,,
,Yeager,"What did your mother do after she went to the academy? She went to the academy for just a year or so?",,,
,Smith,"Yes. Then she went South to teach her cousin's children --as a governess to her cousin's children in Mound Bayou, Mississippi. And her cousin's husband was the first mayor of Mound Bayou.",,,
,Yeager,"Did she ever talk about her experiences in Mississippi?",,,
,Smith,"Nothing other than talking about the children that she took care of and about her ---",,,
,Yeager,"Then she came back up.",,,
,Smith,"Yes, then she came back here.",,,
,Jordan,"Well, did she explain how she came about attending the academy.",,,
,Smith,"Oh, no, school. she never said. She just said that she always loved Her sisters didn't like school and she did. And she said she always had her nose in a book. And then living with Uncle John, maybe that's why. I don't have any idea.",,,
,Wieman,"Where had she gone to school?",,,
,Smith,"She must have gone to school while she was with Uncle John.",,,
,Wieman,"Right here in Grinnell.",,,
,Smith,"And then in Oskaloosa before she came up here.",,,
,Wieman,"Do you know how far she got?",,,
,Smith,"No. I have no idea.",,,
,Yeager,"O.K. So once your mother came back to Grinnell, did she stay at home and raise children?",,,
,Smith,"No. She worked for Professor Franklin. Johnson. Franklin Johnson. She worked for Franklin Johnson. And I think that's the only one --- that's the only person I can remember. My mother was very active in church and with the WCTU and the missionary society. At that time we belonged to the Congregational --- my father was a Congregationalist so we belonged to the Congregational Church so I think that's one reason why she did that.",,,
,Jordan,"Do you recall if in the years when you were growing up there were many speakers who came to the college or much attention that was ever given to the race question? I know that very early in the century, Professor Steiner brought W. E. B. Du",,,
,Smith,"Bois to the campus but we haven't been able to tell what level of awareness there might have been or involvement with national issues --- Well, he was such an outstanding person that he was just a name that was talked about a lot in the house. I don't remember whether my mother came to the lecture or anything but that he was talked about a lot because they thought that he was such a wonderful person. And, of course, my father thought Marcus Garvey was the greatest. He talked about him a lot. But we were small and weren't aware of what was going on.",,,
,Yeager,"What did your father do?",,,
,Smith,"He was a chef.",,,
,Yeager,"He was a chef. He wasn't a chef at the college?",,,
,Smith,"He was a chef at the Monroe Hotel.",,,
,Yeager,"The Monroe Hotel.",,,
,Jordan,"We have some marvelous memoirs of Grinnell students who served tables and washed dishes and helped in the kitchen.",,,
,Smith,"With Saul Brown?",,,
,Jordan,"No, I'm talking about the Monroe Hotel.",,,
,Smith,"Oh, at the Monroe Hotel.",,,
,Yeager,"It's no longer ---",,,
,Smith,"Oh, no, they have what they call the low housing for senior citizens.",,,
,Jordan,"It was torn down in the early 7O's.",,,
,Smith,"Yes. And that's where the underground railroad was.",,,
,Yeager,"Oh. Was that whole story told to you by your parents?",,,
,Smith,"What? The underground railroad?",,,
,Yeager,"The underground railroad.",,,
,Smith,"Oh, yes. And when they had --- Was that the Sesquicentennial we had?",,,
,Wieman,"Yes.",,,
,Smith,"My mother was in the pageant.",,,
,Wieman,"They reenacted that.",,,
,Smith,"And there should be a good write-up in the paper as well as some pictures.",,,
,Yeager,"As a student at Grinnell, if you were the only black student in the whole school,--- you did live in town --- Did the students ask you a lot of questions about being black? Or was that not discussed at all?",,,
,Smith,"Oh, no, they didn't. Well in the first place, I never knew I was black.",,,
,Yeager,"Oh, really?",,,
,Smith,"No, I didn't. That's what my husband always tells me now. He says,""You don't know you're black.""Well, he does. He says,""You came up in the wrong environment. You don't think right. 11",,,
,Wieman,"Well you did grow up in a unique situation.",,,
,Smith,"I think it really was. And then too with my mother being the sort of person that she was. You know, she always taught us --- She said,""I don't care who it is, there is no one born any better than you are. They may have more money and they may be more beautiful. They may have outward things. But there's no one any better.""So naturally if you're taught there's no one any better than you are, why you think you're pretty special. And so, I think that that made a great difference. I don't know whether she didn't talk that much to the other girls and my brother, or that my brother and I were just the youngest and she talked to us a lot. And then maybe she wasn't so harrassed. You know, when you only have --- there's six years between the next oldest and the last two, so you might have more time. And my mother was a great story teller. And I'm so sorry that we didn't have a tape recorder. She could quote Paul Laurence Dunbar and speak that dialect. It was beautiful! And no one --- I don't know anyone today --- who can speak it like she did. And she told us such great stories all the time. And she had a lot of information about her father's family and her mother's family that she told us. A..~d then, too, my mother, when she felt like it, she'd go and she'd play the piano. Well this was something that I don't think many children had that their mother would take the time to go and just bang on the piano because her kids wanted her to.",,,
,Jordan,"You did say that you avoided someone like Professor Sherman or Professor Bauman.",,,
,Smith,"I didn't avoid him. I just knew that he would rather not be bothered.",,,
,Jordan,"So do you think that was, in the absence of any discussion even from students, something not talked about as much. Because we do find from interviews that Stuart has done with many of the blacks that were here later, the constant questioning and both honest curiosity and sometimes a matter of, it just seems, out of ignorance.",,,
,Smith,"I don't know. I really have no idea because they never did. And the students, they came to my house. And they would have me come up to the college to stay and they wouldn't --- I mean, it was never as if you're a curiosity or you're different or anything like that. So that's why I say that I just never felt that they looked at me as though I was something different.",,,
,Yeager,"What was the most positive and most negative experiences that you had at Grinnell as a student?",,,
,Smith,"Well, I don't remember any negative experiences. I had all· positive ones as far as I can remember. Except that I felt that --- oh, I cannot think of the name of that English professor",,,
,Wieman,"Woman?",,,
,Smith,"Yes.",,,
,Wieman,"Hunter?",,,
,Smith,"Hunter. Edith Hunter. I told you her name was Edith Hunter.",,,
,Wieman,"Grace.",,,
,Smith,"Grace. Grace Hunter. You know, she's the one I told you used to go the cemetery to write. But now, when I was in her class, she would never give me anything but a C.",,,
,Yeager,"Oh, really.",,,
,Smith,"Yes. Nothing above a C. But I should say that one of the nicest experiences I had was when my economics professor - - - and that was Klerrrne ---",,,
,Wieman,"ProfessorKlerrrne-.",,,
,Smith,"Yes. I thought he was a great professor. Well, I liked economics anyway and I liked Professor Klemme.",,,
,Yeager,"So you have no single positive experience that sticks out.",,,
,Smith,"I just enjoyed my four years at Grinnell. I really did. I think it was one of the most pleasant times in my life. And I can't think of anything that --- nothing --- you know, no one --- I just have never felt that anyone thought I was important enough to go out of their way to be negative.",,,
,Yeager,"To what degree were the issues of race discussed?",,,
,Smith,"Never. Race never came up.",,,
,Yeager,"Not in the class?",,,
,Smith,"Not in the class. No one ever mentioned race. And to sort of point up the feeling of race --- well, I have two girls. Our little girl was seven years old and she came home from lab school one day and she said,""Momma, am I Chinese?""Now you could see what color I am. But, see, she never --- And the reason she asked that question was that they had been discussing Chinese at school. Not as far as color or anything, I don't think. But she just came home and asked if she were Chinese. I said,""No, you're not Chinese.Ii",,,
,Yeager,"Was there anyone in your family --- I know it's very early in that period --- Was there anyone in the family who was --- you said your mother was before her time in certain respects --- Was there anyone in your family or in the town of Grinnell whom you would refer to as --- not a civil rights type person but someone who was very concerned about social issues.",,,
,Smith,"I didn't know anybody.",,,
,Wieman,"Mrs. Conard and Mr. Steiner.",,,
,Smith,"Well, yes, but you know that wouldn't be anything ..",,,
,Wieman,"They were college people.",,,
